"year","zone","ratio"
"2008","S01001889","29.77"
"2009","S01001889","29.77"
"2010","S01001889","29.77"
"2011","S01001889","29.77"
"2012","S01001889","29.77"
"2003","S01001889","29.55"
"2004","S01001890","14.85"
"2005","S01001890","14.85"
"2006","S01001890","14.85"
"2007","S01001890","14.85"
"2008","S01001890","14.85"
"2009","S01001890","14.85"
"2010","S01001890","14.85"
"2011","S01001890","14.85"
"2012","S01001890","14.85"
"2003","S01001890","14.85"
"2004","S01001891","30.99"
"2005","S01001891","30.99"
"2006","S01001891","34.04"
"2007","S01001891","36.19"
"2008","S01001891","36.19"
"2009","S01001891","36.19"
"2010","S01001891","36.19"
"2011","S01001891","36.29"
"2012","S01001891","36.29"
"2003","S01001891","30.99"
"2004","S01001892","50.79"
"2005","S01001892","50.79"
"2006","S01001892","50.79"
"2007","S01001892","50.79"
"2008","S01001892","52.46"
"2009","S01001892","52.46"
"2010","S01001892","52.46"
"2011","S01001892","52.46"
"2012","S01001892","52.46"
"2003","S01001892","50.79"
"2004","S01001893","29.74"
"2005","S01001893","29.8"
"2006","S01001893","29.8"
"2007","S01001893","29.8"
"2008","S01001893","29.86"
"2009","S01001893","29.8"
"2010","S01001893","29.8"
"2011","S01001893","29.8"
"2012","S01001893","29.8"
"2003","S01001893","29.74"
"2004","S01001894","50.25"
"2005","S01001894","50.25"
"2006","S01001894","50.25"
"2007","S01001894","50.25"
"2008","S01001894","50.25"
"2009","S01001894","50.25"
"2010","S01001894","50.25"
"2011","S01001894","50.25"
"2012","S01001894","50.25"
"2003","S01001894","50.25"
"2004","S01001895","39.68"
"2005","S01001895","39.68"
"2006","S01001895","39.68"
"2007","S01001895","35.14"
"2008","S01001895","35.14"
"2009","S01001895","35.14"
"2010","S01001895","35.14"
"2011","S01001895","35.14"
"2012","S01001895","35.14"
"2003","S01001895","39.59"
"2004","S01001896","25.99"
"2005","S01001896","25.99"
"2006","S01001896","25.99"
"2007","S01001896","25.99"
"2008","S01001896","25.99"
"2009","S01001896","25.99"
"2010","S01001896","25.99"
"2011","S01001896","25.99"
"2012","S01001896","25.99"
"2003","S01001896","26.07"
"2004","S01001897","33.46"
"2005","S01001897","33.46"
"2006","S01001897","33.46"
"2007","S01001897","30.06"
"2008","S01001897","30.06"
"2009","S01001897","30.06"
"2010","S01001897","30.06"
"2011","S01001897","30.06"
"2012","S01001897","30.06"
"2003","S01001897","33.46"
"2004","S01001898","36.87"
"2005","S01001898","36.87"
"2006","S01001898","36.87"
"2007","S01001898","36.87"
"2008","S01001898","36.78"
"2009","S01001898","36.87"
"2010","S01001898","36.87"
"2011","S01001898","36.87"
"2012","S01001898","36.87"
"2003","S01001898","36.87"
"2004","S01001899","39.18"
"2005","S01001899","39.18"
"2006","S01001899","39.18"
"2007","S01001899","38.94"
"2008","S01001899","39.18"
"2009","S01001899","39.18"
"2010","S01001899","39.18"
"2011","S01001899","39.18"
"2012","S01001899","39.18"
"2003","S01001899","39.18"
"2004","S01001900","19.22"
"2005","S01001900","19.22"
"2006","S01001900","19.22"
"2007","S01001900","19.22"
"2008","S01001900","19.22"
"2009","S01001900","19.22"
"2010","S01001900","19.22"
"2011","S01001900","19.22"
"2012","S01001900","19.22"
"2003","S01001900","19.22"
"2004","S01001901","6.03"
"2005","S01001901","6.03"
"2006","S01001901","6.02"
"2007","S01001901","6.84"
"2008","S01001901","6.84"
"2009","S01001901","6.84"
"2010","S01001901","6.86"
"2011","S01001901","6.86"
"2012","S01001901","6.86"
"2003","S01001901","6.03"
"2004","S01001902","27.56"
"2005","S01001902","27.56"
"2006","S01001902","27.56"
"2007","S01001902","27.56"
"2008","S01001902","27.56"
"2009","S01001902","27.56"
"2010","S01001902","27.56"
"2011","S01001902","27.63"
"2012","S01001902","27.63"
"2003","S01001902","27.56"
"2004","S01001903","31.59"
"2005","S01001903","31.59"
"2006","S01001903","31.59"
"2007","S01001903","31.46"
"2008","S01001903","31.46"
"2009","S01001903","31.46"
"2010","S01001903","31.46"
"2011","S01001903","31.46"
"2012","S01001903","31.46"
"2003","S01001903","31.59"
"2004","S01001904","44.87"
"2005","S01001904","44.87"
"2006","S01001904","44.87"
"2007","S01001904","44.87"
"2008","S01001904","44.87"
"2009","S01001904","44.87"
"2010","S01001904","44.87"
"2011","S01001904","44.87"
"2012","S01001904","44.87"
"2003","S01001904","44.87"
"2004","S01001905","40.36"
"2005","S01001905","40.36"
"2006","S01001905","40.36"
"2007","S01001905","40.47"
"2008","S01001905","40.47"
"2009","S01001905","40.47"
"2010","S01001905","40.57"
"2011","S01001905","40.47"
"2012","S01001905","40.47"
"2003","S01001905","40.36"
"2004","S01001906","1.62"
"2005","S01001906","1.67"
"2006","S01001906","1.67"
"2007","S01001906","1.42"
"2008","S01001906","1.3"
"2009","S01001906","1.32"
"2010","S01001906","0.82"
"2011","S01001906","0.83"
"2012","S01001906","0.83"
"2003","S01001906","1.63"
"2004","S01001907","28.66"
"2005","S01001907","28.66"
"2006","S01001907","28.66"
"2007","S01001907","27.05"
"2008","S01001907","27.05"
"2009","S01001907","27.05"
"2010","S01001907","27.05"
"2011","S01001907","27.05"
"2012","S01001907","27.2"
"2003","S01001907","28.66"
"2004","S01001908","2.07"
"2005","S01001908","2.06"
"2006","S01001908","1.97"
"2007","S01001908","2.45"
"2008","S01001908","2.45"
"2009","S01001908","2.44"
"2010","S01001908","2.45"
"2011","S01001908","2.45"
"2012","S01001908","2.44"
"2003","S01001908","2.08"
"2004","S01001909","13.35"
"2005","S01001909","13.35"
"2006","S01001909","13.35"
"2007","S01001909","13.35"
"2008","S01001909","13.35"
"2009","S01001909","13.35"
"2010","S01001909","13.35"
"2011","S01001909","13.35"
"2012","S01001909","13.35"
"2003","S01001909","13.35"
"2004","S01001910","29.08"
"2005","S01001910","29.08"
"2006","S01001910","29.08"
"2007","S01001910","29.08"
"2008","S01001910","29.17"
"2009","S01001910","29.17"
"2010","S01001910","29.17"
"2011","S01001910","29.17"
"2012","S01001910","29.17"
"2003","S01001910","29.08"
"2004","S01001911","31.59"
"2005","S01001911","31.59"
"2006","S01001911","31.8"
"2007","S01001911","31.8"
"2008","S01001911","31.8"
"2009","S01001911","31.9"
"2010","S01001911","31.9"
"2011","S01001911","31.9"
"2012","S01001911","31.9"
"2003","S01001911","31.8"
"2004","S01001912","31.66"
"2005","S01001912","31.66"
"2006","S01001912","31.66"
"2007","S01001912","31.66"
"2008","S01001912","31.66"
"2009","S01001912","31.66"
"2010","S01001912","31.66"
"2011","S01001912","31.66"
"2012","S01001912","31.66"
"2003","S01001912","31.66"
"2004","S01001913","19.12"
"2005","S01001913","19.12"
"2006","S01001913","19.12"
"2007","S01001913","19.12"
"2008","S01001913","19.07"
"2009","S01001913","19.12"
"2010","S01001913","19.12"
"2011","S01001913","19.12"
"2012","S01001913","19.12"
"2003","S01001913","19.07"
"2004","S01001914","9.84"
"2005","S01001914","9.84"
"2006","S01001914","9.84"
"2007","S01001914","10.16"
"2008","S01001914","10.16"
"2009","S01001914","10.2"
"2010","S01001914","10.2"
"2011","S01001914","10.2"
"2012","S01001914","10.2"
"2003","S01001914","9.76"
"2004","S01001915","14.31"
"2005","S01001915","14.47"
"2006","S01001915","14.47"
"2007","S01001915","14.47"
"2008","S01001915",15
"2009","S01001915","15.43"
"2010","S01001915","15.47"
"2011","S01001915","15.58"
"2012","S01001915","15.58"
"2003","S01001915","14.31"
"2004","S01001916","36.6"
"2005","S01001916","36.76"
"2006","S01001916","36.76"
"2007","S01001916","37.88"
"2008","S01001916","38.04"
"2009","S01001916","38.04"
"2010","S01001916","38.04"
"2011","S01001916","38.04"
"2012","S01001916","38.04"
"2003","S01001916","35.09"
"2004","S01001917","14.76"
"2005","S01001917","14.76"
"2006","S01001917","14.76"
"2007","S01001917","14.65"
"2008","S01001917","14.82"
"2009","S01001917","14.88"
"2010","S01001917","14.88"
"2011","S01001917","14.82"
"2012","S01001917","14.88"
"2003","S01001917","14.76"
"2004","S01001918","76.09"
"2005","S01001918","76.09"
"2006","S01001918","76.09"
"2007","S01001918","76.22"
"2008","S01001918","76.22"
"2009","S01001918","76.22"
"2010","S01001918","76.22"
"2011","S01001918","76.22"
"2012","S01001918","76.22"
"2003","S01001918","76.09"
"2004","S01001919","36.61"
"2005","S01001919","36.61"
"2006","S01001919","36.61"
"2007","S01001919","36.61"
"2008","S01001919","36.61"
"2009","S01001919","36.61"
"2010","S01001919","36.61"
"2011","S01001919","36.61"
"2012","S01001919","36.61"
"2003","S01001919","36.61"
"2004","S01001920","33.8"
"2005","S01001920","33.97"
"2006","S01001920","33.97"
"2007","S01001920","32.83"
"2008","S01001920","32.83"
"2009","S01001920","32.83"
"2010","S01001920","32.83"
"2011","S01001920","32.83"
"2012","S01001920","32.83"
"2003","S01001920","33.8"
"2004","S01001921","35.36"
"2005","S01001921","35.36"
"2006","S01001921","35.36"
"2007","S01001921","35.36"
"2008","S01001921","35.36"
"2009","S01001921","35.36"
"2010","S01001921","35.36"
"2011","S01001921","35.36"
"2012","S01001921","35.47"
"2003","S01001921","35.36"
"2004","S01001922","5.33"
"2005","S01001922","5.35"
"2006","S01001922","5.35"
"2007","S01001922","5.75"
"2008","S01001922","5.75"
"2009","S01001922","5.82"
"2010","S01001922","5.82"
"2011","S01001922","5.82"
"2012","S01001922","5.82"
"2003","S01001922","5.28"
"2004","S01001923","38.91"
"2005","S01001923","40.67"
"2006","S01001923","40.75"
"2007","S01001923","40.67"
"2008","S01001923","33.96"
"2009","S01001923","33.96"
"2010","S01001923","33.96"
"2011","S01001923","18.86"
"2012","S01001923","18.86"
"2003","S01001923","32.76"
"2004","S01001924","25.47"
"2005","S01001924","25.47"
"2006","S01001924","25.47"
"2007","S01001924","25.47"
"2008","S01001924","25.47"
"2009","S01001924","25.47"
"2010","S01001924","25.47"
"2011","S01001924","25.54"
"2012","S01001924","25.54"
"2003","S01001924","25.47"
"2004","S01001925","19.24"
"2005","S01001925","19.24"
"2006","S01001925","19.24"
"2007","S01001925","19.12"
"2008","S01001925","19.24"
"2009","S01001925","19.3"
"2010","S01001925","19.24"
"2011","S01001925","19.18"
"2012","S01001925","19.18"
"2003","S01001925","19.24"
"2004","S01001926","5.38"
"2005","S01001926","5.35"
"2006","S01001926","5.31"
"2007","S01001926","5.32"
"2008","S01001926","5.32"
"2009","S01001926","5.32"
"2010","S01001926","5.32"
"2011","S01001926","3.93"
"2012","S01001926","2.74"
"2003","S01001926","5.38"
"2004","S01001927","20.3"
"2005","S01001927","20.25"
"2006","S01001927","20.21"
"2007","S01001927","20.21"
"2008","S01001927","20.65"
"2009","S01001927","20.65"
"2010","S01001927","20.69"
"2011","S01001927","20.65"
"2012","S01001927","20.6"
"2003","S01001927","20.35"
"2004","S01001928","17.42"
"2005","S01001928","17.42"
"2006","S01001928","17.42"
"2007","S01001928","17.42"
"2008","S01001928","17.42"
"2009","S01001928","17.42"
"2010","S01001928","17.42"
"2011","S01001928","17.69"
"2012","S01001928","17.69"
"2003","S01001928","17.46"
"2004","S01001929","9.47"
"2005","S01001929","9.47"
"2006","S01001929","9.95"
"2007","S01001929","12.79"
"2008","S01001929","14.19"
"2009","S01001929","14.19"
"2010","S01001929","14.22"
"2011","S01001929","14.22"
"2012","S01001929","14.22"
"2003","S01001929","9.39"
"2004","S01001930","95.56"
"2005","S01001930","95.56"
"2006","S01001930","95.77"
"2007","S01001930","95.97"
"2008","S01001930","97.01"
"2009","S01001930","97.42"
"2010","S01001930","97.42"
"2011","S01001930","100.33"
"2012","S01001930","100.33"
"2003","S01001930","95.56"
"2004","S01001931","28.96"
"2005","S01001931","28.96"
"2006","S01001931","28.87"
"2007","S01001931","28.96"
"2008","S01001931","28.96"
"2009","S01001931","28.96"
"2010","S01001931","28.96"
"2011","S01001931","29.06"
"2012","S01001931","28.96"
"2003","S01001931","28.96"
"2004","S01001932","11.15"
"2005","S01001932","11.15"
"2006","S01001932","11.15"
"2007","S01001932","11.15"
"2008","S01001932","11.15"
"2009","S01001932","11.15"
"2010","S01001932","11.15"
"2011","S01001932","11.15"
"2012","S01001932","11.15"
"2003","S01001932","11.15"
"2004","S01001933","18.61"
"2005","S01001933","18.56"
"2006","S01001933","18.52"
"2007","S01001933","18.52"
"2008","S01001933","18.52"
"2009","S01001933","18.52"
"2010","S01001933","18.52"
"2011","S01001933","18.47"
"2012","S01001933","18.43"
"2003","S01001933","18.61"
"2004","S01001934","12.03"
"2005","S01001934","12.68"
"2006","S01001934","16.78"
"2007","S01001934","20.77"
"2008","S01001934","23.04"
"2009","S01001934","23.07"
"2010","S01001934","23.09"
"2011","S01001934","23.09"
"2012","S01001934","23.09"
"2003","S01001934","12.01"
"2004","S01001935","37.99"
"2005","S01001935","37.99"
"2006","S01001935","37.99"
"2007","S01001935","38.73"
"2008","S01001935","38.64"
"2009","S01001935","37.74"
"2010","S01001935","37.66"
"2011","S01001935","37.58"
"2012","S01001935","37.58"
"2003","S01001935","36.34"
"2004","S01001936","40.31"
"2005","S01001936","40.31"
"2006","S01001936","40.76"
"2007","S01001936","46.89"
"2008","S01001936","46.96"
"2009","S01001936","46.96"
"2010","S01001936","46.96"
"2011","S01001936","46.96"
"2012","S01001936","47.04"
"2003","S01001936","40.31"
"2004","S01001937","16.65"
"2005","S01001937","18.16"
"2006","S01001937","18.16"
"2007","S01001937","18.16"
"2008","S01001937","18.16"
"2009","S01001937","18.16"
"2010","S01001937","18.16"
"2011","S01001937","18.16"
"2012","S01001937","18.16"
"2003","S01001937","16.65"
"2004","S01001938","23.55"
"2005","S01001938","23.55"
"2006","S01001938","23.55"
"2007","S01001938","23.55"
"2008","S01001938","23.47"
"2009","S01001938","23.47"
"2010","S01001938","23.55"
"2011","S01001938","23.98"
"2012","S01001938","24.32"
"2003","S01001938","23.21"
"2004","S01001939","55.65"
"2005","S01001939","55.65"
"2006","S01001939","55.65"
"2007","S01001939","55.46"
"2008","S01001939","55.07"
"2009","S01001939","55.26"
"2010","S01001939","56.04"
"2011","S01001939","56.42"
"2012","S01001939","56.81"
"2003","S01001939","55.65"
"2004","S01001940","32.9"
"2005","S01001940","32.9"
"2006","S01001940","33.3"
"2007","S01001940","33.4"
"2008","S01001940","33.4"
"2009","S01001940","33.4"
"2010","S01001940","33.4"
"2011","S01001940","33.4"
"2012","S01001940","33.4"
"2003","S01001940","32.9"
"2004","S01001941","12.94"
"2005","S01001941","15.21"
"2006","S01001941","16.78"
"2007","S01001941","17.85"
"2008","S01001941","17.82"
"2009","S01001941","17.89"
"2010","S01001941","17.97"
"2011","S01001941","18.11"
"2012","S01001941","18.11"
"2003","S01001941","12.5"
"2004","S01001942","55.57"
"2005","S01001942","55.57"
"2006","S01001942","55.57"
"2007","S01001942","58.42"
"2008","S01001942","55.75"
"2009","S01001942","55.75"
"2010","S01001942","55.57"
"2011","S01001942","55.57"
"2012","S01001942","55.57"
"2003","S01001942","55.03"
"2004","S01001943","11.28"
"2005","S01001943","11.28"
"2006","S01001943",12
"2007","S01001943",12
"2008","S01001943",12
"2009","S01001943",12
"2010","S01001943",12
"2011","S01001943",12
"2012","S01001943",12
"2003","S01001943","11.28"
"2004","S01001944","7.46"
"2005","S01001944","7.44"
"2006","S01001944","7.68"
"2007","S01001944","8.02"
"2008","S01001944",8
"2009","S01001944","7.93"
"2010","S01001944","7.93"
"2011","S01001944","7.91"
"2012","S01001944","8.42"
"2003","S01001944","7.42"
"2004","S01001945","19.61"
"2005","S01001945","19.61"
"2006","S01001945","19.61"
"2007","S01001945","19.61"
"2008","S01001945","19.61"
"2009","S01001945","19.61"
"2010","S01001945","19.67"
"2011","S01001945","19.67"
"2012","S01001945","19.67"
"2003","S01001945","19.67"
"2004","S01001946","29.29"
"2005","S01001946","29.38"
"2006","S01001946","31.34"
"2007","S01001946","31.34"
"2008","S01001946","31.34"
"2009","S01001946","31.34"
"2010","S01001946","31.34"
"2011","S01001946","31.34"
"2012","S01001946","31.34"
"2003","S01001946","28.84"
"2004","S01001947","10.77"
"2005","S01001947","10.75"
"2006","S01001947","10.68"
"2007","S01001947","10.96"
"2008","S01001947","10.94"
"2009","S01001947","10.94"
"2010","S01001947","11.06"
"2011","S01001947","11.08"
"2012","S01001947","11.08"
"2003","S01001947","10.49"
"2004","S01001948","30.69"
"2005","S01001948","31.29"
"2006","S01001948","31.2"
"2007","S01001948","30.52"
"2008","S01001948","30.52"
"2009","S01001948","33.86"
"2010","S01001948","35.14"
"2011","S01001948","35.14"
"2012","S01001948","35.92"
"2003","S01001948","31.54"
"2004","S01001949","35.23"
"2005","S01001949","35.12"
"2006","S01001949","35.12"
"2007","S01001949","35.12"
"2008","S01001949","35.12"
"2009","S01001949","35.12"
"2010","S01001949","35.12"
"2011","S01001949","35.12"
"2012","S01001949","35.01"
"2003","S01001949","35.12"
"2004","S01001950","53.9"
"2005","S01001950","54.92"
"2006","S01001950","56.24"
"2007","S01001950","56.24"
"2008","S01001950","56.24"
"2009","S01001950","56.24"
"2010","S01001950","56.24"
"2011","S01001950","56.24"
"2012","S01001950","56.24"
"2003","S01001950","53.9"
"2004","S01001951","11.18"
"2005","S01001951","11.18"
"2006","S01001951","11.18"
"2007","S01001951","11.16"
"2008","S01001951","11.18"
"2009","S01001951","11.26"
"2010","S01001951","11.69"
"2011","S01001951","12.01"
"2012","S01001951","12.1"
"2003","S01001951","11.18"
"2004","S01001952","29.01"
"2005","S01001952","28.92"
"2006","S01001952","28.92"
"2007","S01001952","28.82"
"2008","S01001952","28.92"
"2009","S01001952","28.92"
"2010","S01001952","28.92"
"2011","S01001952","28.92"
"2012","S01001952","28.82"
"2003","S01001952","28.43"
"2004","S01001953","31.09"
"2005","S01001953","31.17"
"2006","S01001953","31.02"
"2007","S01001953","27.84"
"2008","S01001953","27.84"
"2009","S01001953","27.84"
"2010","S01001953","27.92"
"2011","S01001953","27.92"
"2012","S01001953","27.84"
"2003","S01001953","31.02"
"2004","S01001954","1.06"
"2005","S01001954","1.06"
"2006","S01001954","1.06"
"2007","S01001954","1.06"
"2008","S01001954","1.06"
"2009","S01001954","1.06"
"2010","S01001954","1.06"
"2011","S01001954","1.06"
"2012","S01001954","1.06"
"2003","S01001954","1.06"
"2004","S01001955","33.25"
"2005","S01001955","37.59"
"2006","S01001955","37.59"
"2007","S01001955","39.79"
"2008","S01001955","39.79"
"2009","S01001955","39.79"
"2010","S01001955","39.79"
"2011","S01001955","39.79"
"2012","S01001955","39.79"
"2003","S01001955","28.98"
"2004","S01001956","27.22"
"2005","S01001956","27.22"
"2006","S01001956","27.22"
"2007","S01001956","30.3"
"2008","S01001956","30.3"
"2009","S01001956","30.3"
"2010","S01001956","30.51"
"2011","S01001956","30.51"
"2012","S01001956","30.51"
"2003","S01001956","27.22"
"2004","S01001957","27.25"
"2005","S01001957","26.91"
"2006","S01001957","25.55"
"2007","S01001957","17.49"
"2008","S01001957","13.85"
"2009","S01001957","13.8"
"2010","S01001957","13.8"
"2011","S01001957","13.74"
"2012","S01001957","14.25"
"2003","S01001957","30.88"
"2004","S01001958","40.4"
"2005","S01001958","40.4"
"2006","S01001958","40.4"
"2007","S01001958","40.4"
"2008","S01001958","40.32"
"2009","S01001958","40.32"
"2010","S01001958","39.98"
"2011","S01001958","39.98"
"2012","S01001958","39.98"
"2003","S01001958","40.32"
"2004","S01001959","0.5"
"2005","S01001959","0.5"
"2006","S01001959","0.5"
"2007","S01001959","0.5"
"2008","S01001959","0.5"
"2009","S01001959","0.5"
"2010","S01001959","0.5"
"2011","S01001959","0.54"
"2012","S01001959","0.6"
"2003","S01001959","0.5"
"2004","S01001960","20.62"
"2005","S01001960","20.75"
"2006","S01001960","20.8"
"2007","S01001960","17.32"
"2008","S01001960","17.32"
"2009","S01001960","17.27"
"2010","S01001960","17.27"
"2011","S01001960","17.27"
"2012","S01001960","17.27"
"2003","S01001960","20.53"
"2004","S01001961","59.91"
"2005","S01001961","61.22"
"2006","S01001961","65.85"
"2007","S01001961","63.47"
"2008","S01001961","63.59"
"2009","S01001961","63.59"
"2010","S01001961","63.59"
"2011","S01001961","63.47"
"2012","S01001961","63.47"
"2003","S01001961","59.91"
"2004","S01001962","6.77"
"2005","S01001962","6.77"
"2006","S01001962","6.79"
"2007","S01001962","6.8"
"2008","S01001962","6.82"
"2009","S01001962","6.82"
"2010","S01001962","6.85"
"2011","S01001962","6.83"
"2012","S01001962","6.83"
"2003","S01001962","5.96"
"2004","S01001963","49.65"
"2005","S01001963","50.43"
"2006","S01001963","49.65"
"2007","S01001963","51.6"
"2008","S01001963","51.6"
"2009","S01001963","51.6"
"2010","S01001963","51.6"
"2011","S01001963","51.6"
"2012","S01001963","51.6"
"2003","S01001963","39.95"
"2004","S01001964","7.08"
"2005","S01001964","7.08"
"2006","S01001964","7.08"
"2007","S01001964","7.08"
"2008","S01001964","7.08"
"2009","S01001964","7.08"
"2010","S01001964","7.08"
"2011","S01001964","7.1"
"2012","S01001964","7.1"
"2003","S01001964","7.08"
"2004","S01001965","33.96"
"2005","S01001965","33.96"
"2006","S01001965","33.96"
"2007","S01001965","33.96"
"2008","S01001965","33.96"
"2009","S01001965","33.96"
"2010","S01001965","33.96"
"2011","S01001965","33.96"
"2012","S01001965","33.96"
"2003","S01001965","33.96"
"2004","S01001966","16.04"
"2005","S01001966","16.4"
"2006","S01001966","18.63"
"2007","S01001966","25.79"
"2008","S01001966","28.64"
"2009","S01001966","29.81"
"2010","S01001966","29.7"
"2011","S01001966","29.7"
"2012","S01001966","29.7"
"2003","S01001966","13.96"
"2004","S01001967","36.84"
"2005","S01001967","36.84"
"2006","S01001967","36.84"
"2007","S01001967","36.84"
"2008","S01001967","36.84"
"2009","S01001967","36.84"
"2010","S01001967","36.84"
"2011","S01001967","36.84"
"2012","S01001967","36.84"
"2003","S01001967","36.84"
"2004","S01001968","23.43"
"2005","S01001968","23.69"
"2006","S01001968","24.1"
"2007","S01001968","24.1"
"2008","S01001968","24.1"
"2009","S01001968",24
"2010","S01001968",24
"2011","S01001968",24
"2012","S01001968",24
"2003","S01001968","23.32"
"2004","S01001969","31.73"
"2005","S01001969","31.73"
"2006","S01001969","31.73"
"2007","S01001969","31.73"
"2008","S01001969","31.73"
"2009","S01001969","31.73"
"2010","S01001969","31.73"
"2011","S01001969","31.73"
"2012","S01001969","31.73"
"2003","S01001969","31.73"
"2004","S01001970","16.81"
"2005","S01001970","16.86"
"2006","S01001970","17.21"
"2007","S01001970","17.32"
"2008","S01001970","18.13"
"2009","S01001970","16.81"
"2010","S01001970","16.75"
"2011","S01001970","16.75"
"2012","S01001970","16.81"
"2003","S01001970","17.21"
"2004","S01001971","30.29"
"2005","S01001971","30.22"
"2006","S01001971","30.22"
"2007","S01001971","30.22"
"2008","S01001971","30.22"
"2009","S01001971","30.22"
"2010","S01001971","30.22"
"2011","S01001971","30.22"
"2012","S01001971","30.22"
"2003","S01001971","30.29"
"2004","S01001972","70.53"
"2005","S01001972","70.53"
"2006","S01001972","70.74"
"2007","S01001972","70.53"
"2008","S01001972","70.74"
"2009","S01001972","70.74"
"2010","S01001972","70.74"
"2011","S01001972","70.74"
"2012","S01001972","70.74"
"2003","S01001972","70.74"
"2004","S01001973","9.25"
"2005","S01001973","9.25"
"2006","S01001973","9.25"
"2007","S01001973","9.25"
"2008","S01001973","9.25"
"2009","S01001973","9.28"
"2010","S01001973","9.28"
"2011","S01001973","9.28"
"2012","S01001973","9.28"
"2003","S01001973","9.25"
"2004","S01001974","32.58"
"2005","S01001974","32.75"
"2006","S01001974","32.83"
"2007","S01001974","29.39"
"2008","S01001974","29.31"
"2009","S01001974","29.48"
"2010","S01001974","29.64"
"2011","S01001974","29.73"
"2012","S01001974","29.73"
"2003","S01001974","32.5"
"2004","S01001975","19.23"
"2005","S01001975","19.09"
"2006","S01001975","19.05"
"2007","S01001975","19.05"
"2008","S01001975","19.05"
"2009","S01001975","19.36"
"2010","S01001975","19.41"
"2011","S01001975","19.36"
"2012","S01001975","19.36"
"2003","S01001975","19.23"
"2004","S01001976","45.3"
"2005","S01001976","45.3"
"2006","S01001976","45.44"
"2007","S01001976","45.3"
"2008","S01001976","45.17"
"2009","S01001976","45.17"
"2010","S01001976","45.17"
"2011","S01001976","45.17"
"2012","S01001976","45.17"
"2003","S01001976","45.17"
"2004","S01001977","11.46"
"2005","S01001977","11.41"
"2006","S01001977","12.07"
"2007","S01001977","12.71"
"2008","S01001977","12.76"
"2009","S01001977","12.76"
"2010","S01001977","12.71"
"2011","S01001977","12.71"
"2012","S01001977","12.71"
"2003","S01001977","11.35"
"2004","S01001978","23.74"
"2005","S01001978","23.78"
"2006","S01001978","24.51"
"2007","S01001978","24.51"
"2008","S01001978","25.24"
"2009","S01001978","26.1"
"2010","S01001978","26.18"
"2011","S01001978","26.83"
"2012","S01001978","26.83"
"2003","S01001978","22.46"
"2004","S01001979","14.24"
"2005","S01001979","14.24"
"2006","S01001979","14.8"
"2007","S01001979","14.38"
"2008","S01001979","15.41"
"2009","S01001979","15.36"
"2010","S01001979","15.59"
"2011","S01001979","15.5"
"2012","S01001979","16.01"
"2003","S01001979","13.96"
"2004","S01001980","90.38"
"2005","S01001980","90.38"
"2006","S01001980","90.38"
"2007","S01001980",91
"2008","S01001980","92.03"
"2009","S01001980","92.23"
"2010","S01001980","92.23"
"2011","S01001980","92.23"
"2012","S01001980","92.23"
"2003","S01001980","85.45"
"2004","S01001981","34.99"
"2005","S01001981","35.16"
"2006","S01001981","35.24"
"2007","S01001981","35.16"
"2008","S01001981","35.91"
"2009","S01001981","36.07"
"2010","S01001981","35.91"
"2011","S01001981","36.07"
"2012","S01001981","36.07"
"2003","S01001981","35.24"
"2004","S01001982","7.18"
"2005","S01001982","6.21"
"2006","S01001982","6.21"
"2007","S01001982","6.21"
"2008","S01001982","6.17"
"2009","S01001982","6.29"
"2010","S01001982","8.02"
"2011","S01001982","10.69"
"2012","S01001982","10.73"
"2003","S01001982","11.29"
"2004","S01001983","43.85"
"2005","S01001983","44.25"
"2006","S01001983","44.25"
"2007","S01001983","44.38"
"2008","S01001983","44.25"
"2009","S01001983","44.38"
"2010","S01001983","44.51"
"2011","S01001983","44.38"
"2012","S01001983","44.25"
"2003","S01001983","43.98"
"2004","S01001984","25.49"
"2005","S01001984","25.49"
"2006","S01001984","35.91"
"2007","S01001984","54.27"
"2008","S01001984","60.44"
"2009","S01001984","63.73"
"2010","S01001984","72.5"
"2011","S01001984","80.59"
"2012","S01001984","82.78"
"2003","S01001984","24.53"
"2004","S01001985","32.45"
"2005","S01001985","32.45"
"2006","S01001985","32.45"
"2007","S01001985","32.45"
"2008","S01001985","32.45"
"2009","S01001985","32.45"
"2010","S01001985","32.45"
"2011","S01001985","32.45"
"2012","S01001985","32.45"
"2003","S01001985","32.45"
"2004","S01001986","140.19"
"2005","S01001986","140.19"
"2006","S01001986","140.19"
"2007","S01001986","140.19"
"2008","S01001986","140.19"
"2009","S01001986","140.19"
"2010","S01001986","140.19"
"2011","S01001986","140.19"
"2012","S01001986","140.19"
"2003","S01001986","140.19"
"2004","S01001987","80.22"
"2005","S01001987","80.22"
"2006","S01001987","80.22"
"2007","S01001987","80.22"
"2008","S01001987","80.22"
"2009","S01001987","79.94"
"2010","S01001987","79.94"
"2011","S01001987","79.94"
"2012","S01001987","79.94"
"2003","S01001987","80.22"
"2004","S01001988","32.43"
"2005","S01001988","32.43"
"2006","S01001988","32.43"
"2007","S01001988","32.25"
"2008","S01001988","32.34"
"2009","S01001988","32.34"
"2010","S01001988","32.34"
"2011","S01001988","32.34"
"2012","S01001988","32.34"
"2003","S01001988","32.43"
"2004","S01001989","6.6"
"2005","S01001989","6.6"
"2006","S01001989","6.6"
"2007","S01001989","6.6"
"2008","S01001989","6.6"
"2009","S01001989","6.6"
