"year","zone","ratio"
"2003","S01001809","34.06"
"2004","S01001810","9.71"
"2005","S01001810","9.53"
"2006","S01001810","9.53"
"2007","S01001810","9.51"
"2008","S01001810","9.53"
"2009","S01001810","9.53"
"2010","S01001810","9.58"
"2011","S01001810","9.58"
"2012","S01001810","9.58"
"2003","S01001810","9.71"
"2004","S01001811","19.1"
"2005","S01001811","19.1"
"2006","S01001811","19.1"
"2007","S01001811","19.1"
"2008","S01001811","19.1"
"2009","S01001811","19.1"
"2010","S01001811","19.1"
"2011","S01001811","19.1"
"2012","S01001811","19.1"
"2003","S01001811","19.1"
"2004","S01001812","8.45"
"2005","S01001812","9.29"
"2006","S01001812","9.86"
"2007","S01001812","9.92"
"2008","S01001812","9.92"
"2009","S01001812","9.92"
"2010","S01001812","9.89"
"2011","S01001812","9.89"
"2012","S01001812","9.89"
"2003","S01001812","6.89"
"2004","S01001813","15.09"
"2005","S01001813","15.09"
"2006","S01001813","15.09"
"2007","S01001813","15.36"
"2008","S01001813","15.31"
"2009","S01001813","15.31"
"2010","S01001813","15.31"
"2011","S01001813","15.31"
"2012","S01001813","15.31"
"2003","S01001813","15.09"
"2004","S01001814","16.11"
"2005","S01001814","16.11"
"2006","S01001814","16.11"
"2007","S01001814","16.62"
"2008","S01001814","16.62"
"2009","S01001814","16.62"
"2010","S01001814","16.62"
"2011","S01001814","16.62"
"2012","S01001814","16.62"
"2003","S01001814","16.05"
"2004","S01001815","19.52"
"2005","S01001815","19.52"
"2006","S01001815","19.52"
"2007","S01001815","19.52"
"2008","S01001815","19.52"
"2009","S01001815","19.52"
"2010","S01001815","19.52"
"2011","S01001815","19.52"
"2012","S01001815","19.52"
"2003","S01001815","19.52"
"2004","S01001816","11.81"
"2005","S01001816","11.81"
"2006","S01001816","11.78"
"2007","S01001816","11.75"
"2008","S01001816","11.81"
"2009","S01001816","11.81"
"2010","S01001816","11.81"
"2011","S01001816","11.78"
"2012","S01001816","11.78"
"2003","S01001816","11.81"
"2004","S01001817","21.21"
"2005","S01001817","21.21"
"2006","S01001817","21.21"
"2007","S01001817","21.21"
"2008","S01001817","21.21"
